"CUSP_ID","LONGITUDE","LATITUDE","ELAPSED_DAYS","MAG","DEPTH","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND"
3366513,172.648710310296,-43.6648712079368,0.622280326,3.529,5,2010,9,4,7,31,46.31113
3366525,172.28300613873,-43.5214886878489,0.645236888,3.56,12,2010,9,4,8,4,49.75807
3366542,172.310531244773,-43.6843684057904,0.674385609,3.915,5,2010,9,4,8,46,48.20765
3366544,171.855998451146,-43.5636555701412,0.679702436,4.668,8.5835,2010,9,4,8,54,27.58148
3366560,172.518489649605,-43.6336486850538,0.709161043,3.433,12,2010,9,4,9,36,52.80514
3366561,172.216755867583,-43.5049533620751,0.71105704,2.968,8.0936,2010,9,4,9,39,36.61926
3366571,172.482019942002,-43.6234103679412,0.727438578,3.777,12,2010,9,4,10,3,11.98416
3366576,172.184635674297,-43.715277725272,0.736662637,3.082,17.0296,2010,9,4,10,16,28.94286
3366582,172.419328161113,-43.5776670889826,0.743788383,3.181,5,2010,9,4,10,26,44.60725
3366584,171.85189596886,-43.394753959213,0.747865595,3.078,19.1459,2010,9,4,10,32,36.87842
3366585,172.381211616407,-43.6211773691531,0.74943274,4.607,5,2010,9,4,10,34,52.27969
3366586,171.977445635864,-43.2503058959586,0.751618735,4.892,7.6655,2010,9,4,10,38,1.14971
3366600,172.16146920574,-43.6269190570328,0.77262122,3.534,5,2010,9,4,11,8,15.76444
3366609,172.413661373374,-43.5695645912275,0.785909616,3.821,20.1085,2010,9,4,11,27,23.88182
3366615,171.862467510587,-43.5447436921191,0.796903024,4.099,10.4456,2010,9,4,11,43,13.71227
3366617,172.446181294504,-43.5723085881422,0.800487578,2.883,5.0598,2010,9,4,11,48,23.41771
3366618,172.433484506055,-43.5837860665345,0.802066575,2.761,12.3436,2010,9,4,11,50,39.84304
3366621,172.032390369675,-43.6756950436328,0.809393866,3.247,2.3842,2010,9,4,12,1,12.92101
3366623,171.896959063553,-43.5596897139311,0.813170003,2.675,5,2010,9,4,12,6,39.17927
3366624,172.303509024185,-43.5642441703549,0.815816484,3.773,6.0305,2010,9,4,12,10,27.83524
3366627,172.069068561614,-43.2586142587753,0.818393956,3.382,5,2010,9,4,12,14,10.52878
3366628,172.557511290387,-43.5688289007344,0.82078136,2.471,5,2010,9,4,12,17,36.8005
3366629,172.43728408454,-43.5692142232297,0.822486774,3.05,17.4836,2010,9,4,12,20,4.14828
3366630,172.264216415809,-43.3526014574008,0.823905162,2.843,1.0398,2010,9,4,12,22,6.69695
3366631,171.956796733228,-43.5776931490188,0.82645867,2.916,0.6613,2010,9,4,12,25,47.32007
3366633,172.262156185629,-43.5527172878531,0.828913531,2.613,7.1869,2010,9,4,12,29,19.42005
3366634,172.488769364009,-43.6592899499796,0.832238753,2.739,15.3418,2010,9,4,12,34,6.71925
3366637,172.024746023213,-43.5716546300227,0.8367733,3.415,5,2010,9,4,12,40,38.50413
3366638,172.459637865744,-43.6044693292638,0.838517925,2.791,5.2538,2010,9,4,12,43,9.23973
3366642,172.363487619917,-43.6063825618395,0.844132859,3.115,15.5667,2010,9,4,12,51,14.37
3366643,171.989602032707,-43.6414918382204,0.845961894,3.442,6.5514,2010,9,4,12,53,52.39864
3366644,172.142086346363,-43.4759846608393,0.848476464,3.802,7.6419,2010,9,4,12,57,29.65752
3366645,172.265274766328,-43.5845564009639,0.851310686,3.317,12.9841,2010,9,4,13,1,34.53423
3366664,172.321586548687,-43.535989433088,0.883028649,3.842,12,2010,9,4,13,47,14.96629
3366667,171.911156541489,-43.596381185085,0.887844391,2.918,2.1741,2010,9,4,13,54,11.0464
3366668,172.356048711462,-43.5859271074206,0.889172589,2.818,9.78,2010,9,4,13,56,5.80265
3366669,172.20072913489,-43.5049331167988,0.890799369,3.22,5.9474,2010,9,4,13,58,26.35649
3366677,172.114023750705,-43.5961578526611,0.906515919,3.591,12,2010,9,4,14,21,4.26637
3366679,172.277884714956,-43.5194313817342,0.909809996,3.526,4.9793,2010,9,4,14,25,48.87461
3366680,171.553846159856,-43.0013094811288,0.911912205,3.652,32.3432,2010,9,4,14,28,50.50553
3366683,172.184320478018,-43.4909466445433,0.916788269,3.363,7.244,2010,9,4,14,35,51.79745
3366684,172.206355087168,-43.5648310854918,0.919615544,2.844,5,2010,9,4,14,39,56.07401
3366686,172.433680504382,-43.6654060129489,0.92116727,3.908,5,2010,9,4,14,42,10.14308
3366721,172.391578933726,-43.6351297239888,0.981295482,4.008,4.8793,2010,9,4,16,8,45.22061
3366724,171.969713662783,-43.5446381959766,0.988765407,3.103,5,2010,9,4,16,19,30.62218
3366726,172.055562555148,-43.6130573401037,0.991410626,4.407,3.1974,2010,9,4,16,23,19.16911
3366729,172.401154504957,-43.5472768867232,0.996963452,3.793,7.1334,2010,9,4,16,31,18.93325
3366734,172.2089228552,-43.5739490356553,1.003048409,3.4,12,2010,9,4,16,40,4.67351
3366746,172.19780229714,-43.4764501091731,1.022287816,3.099,6.8639,2010,9,4,17,7,46.95832
3366748,171.999186576504,-43.6134276841241,1.026743352,2.905,5.1818,2010,9,4,17,14,11.91657
3366750,172.105843796879,-43.6589509203732,1.029336901,4.947,7.0364,2010,9,4,17,17,55.9992
3366751,172.138885435839,-43.624745403263,1.031140041,4.999,5,2010,9,4,17,20,31.79057
3366754,172.189907646462,-43.5933946864669,1.036788749,4.094,12.6462,2010,9,4,17,28,39.83889
3366756,172.345467273134,-43.5358306053056,1.040844276,2.594,4.7887,2010,9,4,17,34,30.2364
3366765,172.135504708565,-43.6341984485789,1.05384073,4.394,3.5507,2010,9,4,17,53,13.1301
3366774,172.414183822236,-43.6015204389597,1.068073975,3.472,12.5412,2010,9,4,18,13,42.88245
